"adviceToOthers","completenessScore","cons","customerSupportRating","easeOfUseRating","functionalityRating","generalComments","globalReviewId","id","incentivized","isAuthenticated","overallRating","profilePictureUrl","pros","reasonForChoosing","reasonForSwitching","recommendationRating","reviewerAnonymityOn","reviewerCompanySize","reviewerFirstName","reviewerIndustry","reviewerJobTitle","reviewerLastName","sourceSite","timeUsedProduct","title","valueForMoneyRating","vendorReply","writtenOn","alternativesConsidered","switchedProducts"
null,0.403542905078343,"It can't handle the load of a large number of test cases under one suite and consumes a lot of time. Rest functionality is good.",1,1,0.8,"I found it really good as it even provides screenshots where the error occurs and has helped our firm to create the whole process easily testable through katalon .","Capterra___4807782","4807782","NominalGift",FALSE,1,null,"The browser/desktop recording helps to automatically record scripts and helps a lot in saving time to create automation scripts, plus it helps in parallel execution to save time.",null,null,1,FALSE,"D","Yash","43","QAE","Agarwal","Capterra","LessThan2Years","Ultimate tool for automated and overall testing.",0.8,null,"2023-05-22T06:45:01Z","",""
null,0.951854868747036,"infelizmente o custo por módulo é um pouco alto, mas a Katalon permite o acesso pagando uma mensalidade, que em comparação a outros softwares é bastante acessível",1,1,1,"Permite o usuário a testar a ferramenta gratuitamente por tempo indeterminado, a unica necessidade de contratação seria em caso de escalonamento de uso, múltiplos projetos e test cloud.A curva de aprendizado é bem curta e como usa java + groovy, é uma syntax muito amigável para novos membros do time.","Capterra___4684770","4684770","NominalGift",TRUE,1,"https://cdn0.capterra-static.com/profile-images/linkedin/60612bdd132f0cb8e7e7b6ae2aca6a5a.jpeg","Interface amigável e curva de aprendizado muito curta, consegui implantar a ferramenta em poucos dias e o resultado tem sido muito promissor","O selenium tem uma curva de aprendizado maior, e como ele funciona sem interface, acaba sendo menos amigável para novos membros, apesar de ser gratuito.","infelizmente o testcomplete da SmartBear é muito caro, e não trazia a possibilidade de usar a ferramenta de uma forma mais acessivel, os planos iniciam de forma cara.",1,FALSE,"C","Lucas","96","Quality Assurance","Wiggers","Capterra","LessThan6Months","Primeiro contato positivo",1,null,"2023-03-23T21:12:16Z","Selenium IDE","TestComplete"
null,0.9700786192024907,"On a commencé à l'adapter, mais le changement de politique de licence était trop agressive.On a eu besoin de changer l'activation offline par une online : Le support a refusé, il fallait attendre un mois pour faire ce type de changement",0.2,1,1,"Une deception au niveau marketing. Sinon l'outil est l'un des meilleurs.","Capterra___4669846","4669846","NoIncentive",TRUE,0.4,"https://cdn0.capterra-static.com/profile-images/linkedin/82ae7350e36bd59f2054bc72684f4f85.jpeg","Katalon studio est un outil excellent.Il s'integre avec tout presque, il importe des tests case depuis Selenium, depuis open api v2 ou v3.","Katalon Studio permet de faire des tests UI","On a avait une licence sur un serveur pour faire tourner les tests automatiquement dans le pipeline de release.Lorsqu'on a voulu renouveler et acheter de nouvelles licences, ce type de licence n'existe plus et il faut acheter une licence katalon studio entreprise par utilisateur.",0.4,FALSE,"G","sadri","75","Architecte organique","Fertani","Capterra","LessThan2Years","Katalon - Bon produit, mais...",0.2,null,"2023-03-18T02:27:13Z","ReadyAPI","Parasoft SOAtest, ReadyAPI"
null,0.54618073911086,"this app is very simple to use to develop your tools and make structured framework ",1,1,0.8,null,"Capterra___4587792","4587792","NoIncentive",TRUE,1,"https://cdn0.capterra-static.com/profile-images/linkedin/9a31c72c74233c2258fca2fe204fa876.jpeg","this app is very easy to use with tool od developed and you will make automation frameworks in an easy way ",null,null,1,TRUE,"G","Abdallah","48","Develpoer Manager","kamal","Capterra","MoreThan2Years","app for developer",0.8,null,"2023-02-14T10:38:54Z","",""
null,0.46696834369670454,"As most of the features are built-in, sometimes it becomes difficult to handle the automation of complex web application that has a large database.",1,1,0.8,"Earlier we used to maintain a Java-Selenium-based Hybrid framework, which required good programming knowledge.Reporting was a bit complex.Lots of external tools, libraries, and files are needed to add every functions/features. But In  Katalon , most of the features are built in which made the tool almost CODELESS and less tedious ","Capterra___4524975","4524975","NoIncentive",FALSE,1,null,"In the Software Testing and Software Development Industry , Katalon Studio is a game changer tools. The feature I liked most is,  little Progaming language skill is required to operate and maintain the framework. ",null,null,1,FALSE,"C","Istiaq","27","CEO","Ahmed","Capterra","FreeTrial","Katalon Studio Review",null,null,"2023-01-26T13:01:54Z","",""
null,0.3537415720970524,"the only drawback with this software is that it takes one min to execute one step via recording scripts and if device gets disconnected it crashes the whole script",0.8,0.8,0.8,null,"Capterra___4215289","4215289","NominalGift",TRUE,1,"https://cdn0.capterra-static.com/profile-images/linkedin/5944bce1762668524f494099bd87acfe.jpeg","This is the only software which works with Flutter based mobile application for automation script writing using recording method",null,null,0.8,TRUE,"C","Siddhesh","43","QA Manager","Pathak","Capterra","LessThan12Months","Only alternative for Flutter automation testing",1,null,"2022-11-15T09:08:25Z","",""
null,0.3052820992275399,"It freezes very often, at least on the iMac and I need Force Quit to be able to reopen. :(",1,1,1,null,"Capterra___4101381","4101381","NominalGift",TRUE,1,"https://cdn0.capterra-static.com/profile-images/linkedin/55ce2d8a0a1f5823b01a88db4df258d7.jpeg","Capturing selectors is the most beneficial thing. (Catch and play)",null,null,1,FALSE,"I","Adrian","6","QA Engineer","Grmiteanu","Capterra","FreeTrial","The easiest automation tool I've ever used!",1,null,"2022-10-28T07:23:06Z","",""
null,0.22833527811772,"Can seem very complex when starting out with the software",null,0.6,0.8,null,"Capterra___3734515","3734515","NominalGift",FALSE,0.8,"https://cdn0.capterra-static.com/profile-images/linkedin/850ec691373bb7d8c00394b50e66e708.jpeg","Great coding language to pick up and use for regression testing",null,null,0.5,FALSE,"D","Conrad","96","Qa engineer","Binnersley","Capterra","LessThan2Years","Powerful free testing tool",null,null,"2022-08-05T17:54:42Z","",""
null,0.5443477314144058,"Debug feature is complicated.
Identify elements for desktop applications feature is not good using UISpy.",0.6,0.8,0.8,"I am very happy for UI and API automation testing.  UI supports with all browsers option is good.","Capterra___3564075","3564075","NominalGift",FALSE,1,null,"I liked Record and Playback feature. 
Sauce labs, chrome  and Firefox execution.
API execution is also very good and easy to implement for functional Testers.
Predefined Git options are very good.","Earlier used Visual studio NUnit framework, but Katalon performance is good and user friendly tool.",null,0.8,FALSE,"I","Sampath","11","Technical lead","Bejugama","Capterra","LessThan12Months","Good tool for Functional and Automation testers.",0.8,null,"2022-06-07T20:26:16Z","",""
null,0.31556106438721543,"The only scripting language katalon knows is groovy which is not appropriate for their brand.",0.6,0.8,0.8,"Not perfect but not bad ","Capterra___3487888","3487888","NoIncentive",FALSE,0.8,null,"Katalon is the best API automation testing tool used by IT engineers.",null,null,0.7,FALSE,"A","Yaa Boatemaa","10","lawyer","Danquah","Capterra","LessThan6Months","Codeless test automation",0.6,null,"2022-04-25T20:41:05Z","",""
