"﻿""headline""","summary","submitDate","rating","source","upvote","downvote","deploymentArchitecture","partnerReview","submitTimestamp","user_id","user_title","user_industry","user_companySize","user_function","lessonslearned-like-most","lessonslearned-dislike-most","evaluation-contracting","why-purchase-s24","factors-drove-decision-s24","vendors-considered","integration-deployment","service-support","product-capabilities","deployment-architecture-s24","deployment-country-multi","reviewId"
"Make Software testing easy with Katalon","Best platform to manage software testing across mobile, web and desktop.","2023/10/31","5","Invited by Gartner (email, event, account rep)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1698685200000,"139633860","Associate","Software","50M - 250M USD","General Management","NLP testing using plain english i.e test without writing any codes and how we can manage testing across different platforms in a centralized way. Plus, you can do testing in the combination of different environments which make them robust while you get detailed analysis of the errors.","Though it reduces testing time but it sometimes gives faulty errors which it turns make the overall process of rectifying quite cumbersome.","5","Create internal/operational efficiencies","Product functionality and performance","Virtuoso","5","5","5","Cloud (SaaS or PaaS or IaaS)","India",5081886
"Streamlining testing for software excellence","Out overall experience with Katalon has been positive, The platform has proven to be a valuable asset for our test automation needs. It offers a user friendly interface & a comprehensive set of features that simplify & expedite the testing process, resulting in increased efficiency & accuracy in our software testing efforts.","2023/10/20","5","Invited by Gartner (email, event, account rep)","0","0","Hybrid Cloud and On-premises","FALSE",1697734800000,"150247575","C PARTS EXPERT","Manufacturing","50M - 250M USD","Management / Business Consulting","There are three key features which we liked the most:
1. Katalon supports the automation of various types of tests, including web, mobile & API testing.
2. User friendly interface & learning curve makes it accessible for testers of all skill sets.
3. It offers seamless integration with popular development & testing tools.","There are three key weaknesses in this software:
1. Katalon can be resource-intensive, especially when dealing with large test suites & complex scenarios.
2. While katalon offers a user friendly interface the avalability of comrehensive documentation & support resources could be improved.
3. The platform's limitation on parallel execution of test cases can be hindrance when scalability & faster text execution are required.","5","Reduce time to market, Improve business process agility, Improve business process outcomes, Cost management","Strong customer focus, Product functionality and performance, Strong services expertise, Product roadmap and future vision","Cycle Labs, IBM, Endtest Technologies","4","5","5","Hybrid Cloud and On-premises","Switzerland",5061064
"Time consuming software which still can save time","Even if it looks easy in videos the software needs basic skillset and overall understand to use it correctly, which isn't a negative point but only natural. Set up everything several times to accomplish the desired test structure and test run stability.","2023/9/14","3","Self directed (Gartner.com, search, ad/promo)","0","0","On-premises","FALSE",1694624400000,"138127610","QA","Manufacturing","500M - 1B USD","IT","Depictability of complex scenarios
Community forum
feature richness
","Performance
Variable Inheritance
Pricing
","3","Other...","Other...","SmartBear","3","3","5","On-premises","France|Germany|Australia|United States|United Kingdom|Belgium|Netherlands|Luxembourg|Italy|Spain",4987614
"A great test automation tool","Katalon has brought significant development to automation testing world and has made automation testing very easy . The good interface and customs API are cherry on top. It is a great tool that comes with a wide set of functionalities . It is suitable for beginners also as very less coding language is required to use  it.","2023/6/3","4","Self directed (Gartner.com, search, ad/promo)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1685725200000,"138264800","SDE-1","Software","30B + USD","Engineering - Other","The low price makes it as most adaptable tool for test automation . The various features it has such as self healing are quite impressive . Self Healing Feature can be of great use to any tester for  UI automation . Also the user friendly interface makes it quite easy to use","I don't find anything to dislike as such but sometimes it takes good amount of time for execution which accounts for its performance issues.","4","Improve business process outcomes, Enhance decision making, Drive revenue growth, Drive innovation, Create internal/operational efficiencies, Cost management, Improve business process agility","Breadth of services, Product functionality and performance, Product roadmap and future vision, Strong customer focus, Strong services expertise, Strong user community, Overall cost","Perforce, Software Testing Solutions, Keysight, Deque Systems, Autify, progile","4","5","4","Cloud (SaaS or PaaS or IaaS)","India",4743214
"Katalon Studio Automation Testing Tool","Katalon doesnt require additional extensions to run tests as it offers a wide even Its concise syntax and features such as null safety, extension functions, and coroutines have made it a favorite among developers","2023/5/2","5","Invited by Gartner (email, event, account rep)","0","0","On-premises","FALSE",1682960400000,"137601020","RPA DEVELOPER AND SOFTWARE DEVELOPER","Telecommunication","1B - 3B USD","Communications","Intuitive analytics dashboard and reports
Supports several types of testing
"," Not open source","5","Drive innovation, Cost management","Pre-existing relationships, Strong customer focus","UiPath","5","5","5","On-premises","Jordan",4665994
"Katalon is a reliable automation testing tool with a user friendly interface.","Katalon has a user friendly interface that simplifies the process of test creation and execution.it supports multiple scripting languages such as java, Groovy, and JavaScript. Also provide wide range of built in keywords that cover various  test scenarios, enable users to create test cases quickly and easily.","2023/3/29","4","Referred (colleague, friend, peer)","0","0","On-premises","FALSE",1680022800000,"137631760","Quality Assurance and Automation Manager","Telecommunication","50M - 250M USD","IT","- Ability to integrate with various third party tools and frameworks including Jira, Jenkins and Git.
- Ease of use.
- Comprehensive platform and integration capabilities.","- Performance issues when running test cases with large data sets.
- You cannot run IOS emulator on windows.
- Limited documentation.","5","Reduce time to market, Improve business process agility, Improve business process outcomes, Enhance decision making, Drive innovation, Create internal/operational efficiencies, Cost management","Product roadmap and future vision, Strong customer focus, Overall cost, Product functionality and performance, Strong services expertise","UiPath","5","5","4","On-premises","Jordan",4663304
"Katalon, a lot of features but hard to work with them","the IDE is not easy when it comes mobile automations and APIs automation.
everything needs to be customized and hard code is required","2023/3/25","3","Self directed (Gartner.com, search, ad/promo)","0","0","On-premises","FALSE",1679677200000,"137556490","IT MANAGER","Telecommunication","1B - 3B USD","IT","it has variety of features","IDE is not easy to use
The mobile automation requires lot of configuration
Solution explorer is not easy to work with
","5","Improve customer relations/service, Improve business process agility, Improve business process outcomes, Drive innovation, Create internal/operational efficiencies, Cost management","Breadth of services, Product functionality and performance","SmartBear, Software Testing Solutions, Sauce Labs, Microsoft, UiPath","4","4","4","On-premises","Jordan",4658200
"Katalon is a powerful and easy to use automation testing tool","Katalon have a very friendly and intutive user interface and it makes it very easy for users to create and execute test cases without much training. It also provides cross platofrm support including windows, macOS, linux so it's is really good for cross platform testing also. Katalon is very powerful","2023/3/25","4","Invited by Gartner (email, event, account rep)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1679677200000,"137509710","SDE-2","Retail","3B - 10B USD","Data and Analytics","I think the most that I admire about Katalon is it's flow and interface, it could been very complex testing tool but they made it so intutive and easy to use that it doesn't feel like a burdon and of course the cross platform support is great. I also like their strong and active community because it makes it so easy to share knowledge and contribute to development.","I think katalon is a great tool but it have limited customization, it offers a wide range of services but the customisation limitations  impact the ability to tailor the tool for specific testing requirements, other than this katalon comes with a free versions but there are some advance features which are costly and it may not be feasible for many teams and organisations.","4","Reduce time to market, Improve customer relations/service, Improve supplier or partner relationships, Improve compliance & risk management, Enhance decision making, Drive revenue growth, Create internal/operational efficiencies, Cost management","Breadth of services, Overall cost, Product functionality and performance, Strong consulting partnership, Strong customer focus, Strong services expertise, Strong user community, Financial/organizational viability","Copado, HeadSpin, bqurious, 3i Infotech, IBM, Int4, JamoSolutions, LambdaTest, Opkey, Original Software, Parasoft, Perforce, Progress, QMetry, Qt Group, Sauce Labs, Software Testing Solutions, Testsigma, Tricentis, UiPath, ZAPTEST, Zebrunner, Zeenyx Software, Conformiq, Appvance.ai, ACCELQ","5","5","5","Cloud (SaaS or PaaS or IaaS)","India",4657864
"A well suited platform for apps and service testing with low code environment.","Katalon works as test automation service with low coding requirements. This tool works on mobile devices, web , desktop for automation lots of tasks.","2023/3/17","3","Referred (colleague, friend, peer)","0","0","On-premises","FALSE",1678986000000,"134550110","DATABASE ADMINISTRATOR","Miscellaneous","3B - 10B USD","","This tool has ability to write easy test cases with multiple user input sets and easily can update that any time. Katalon comes with easy GUI interface which is very reliable for completing a task without any issue.","Sometimes performance services works very slowly.","3","Improve compliance & risk management, Improve business process agility","Product functionality and performance","Code Intelligence","4","3","4","On-premises","India",4642560
"Katalon is changing automated testing ","Katalon is backbone for our testing, it is low code automated testing platform and it's single click self healing feature is a boon fr any UI automation tester.You also get execution summary using report integration with testOps. ","2023/3/13","4","Invited by Gartner (email, event, account rep)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1678640400000,"136309600","","Retail","50M - 250M USD","Software Development","Customization, low coding knowlegde requirements are the features I love the most, it's really simple and time saving, you can do automated testing for your applications, APIs and Web very easily . I also admire their UI it's really intutive and easy to follow. You always have their great documentation and strong community if you feel stuck. ","I have experince latency and slow loading with katalon, that I don't like. I have also faced problem in applying data source feature, I had to heavily dependent on the documentation and it's not free to use.","4","Improve supplier or partner relationships, Improve compliance & risk management, Improve customer relations/service, Drive revenue growth, Drive innovation, Cost management","Strong services expertise, Overall cost, Strong user community, Product functionality and performance, Product roadmap and future vision, Strong consulting partnership, Strong customer focus, Financial/organizational viability","Appvance.ai, Autify, progile, 3i Infotech, Cycle Labs, Deque Systems, HeadSpin, IBM, Int4, JamoSolutions, Microsoft, Original Software, Parasoft, QMetry, Qatts, Qt Group, Qualitia, SmartBear, Software Testing Solutions, Testsigma, Tricentis, UiPath, Worksoft, ZAPTEST, Zebrunner, mabl, Applitools","5","5","4","Cloud (SaaS or PaaS or IaaS)","India",4634916
